UniProtKBID	EntrezGeneID	GeneSymbol	Domain	ProteinFamilies
O60437	5493	PEPL	SH3	Plakin or cytolinker family
P35813	5494	PPM1A	PPM-type phosphatase	PP2C family
O75688	5495	PPM1B	PPM-type phosphatase	PP2C family
O15355	5496	PPM1G	PPM-type phosphatase	PP2C family
P50336	5498	PPOX		Protoporphyrinogen oxidase family
P62136	5499	PP1A		PPP phosphatase family, PP-1 subfamily
P62140	5500	PP1B		PPP phosphatase family, PP-1 subfamily
P36873	5501	PP1G		PPP phosphatase family, PP-1 subfamily
Q13522	5502	PPR1A		Protein phosphatase inhibitor 1 family
P41236	5504	IPP2		Protein phosphatase inhibitor 2 family
Q16821	5506	PPR3A	CBM21	
Q9UQK1	5507	PPR3C	CBM21	
O95685	5509	PPR3D	CBM21	
Q15435	5510	PP1R7	LRRCT	SDS22 family
Q12972	5511	PP1R8	FHA	
Q96QC0	5514	PP1RA	TFIIS N-terminal	
P67775	5515	PP2AA		PPP phosphatase family, PP-1 subfamily
P62714	5516	PP2AB		PPP phosphatase family, PP-1 subfamily
P30153	5518	2AAA		Phosphatase 2A regulatory subunit A family
P30154	5519	2AAB		Phosphatase 2A regulatory subunit A family
P63151	5520	2ABA		Phosphatase 2A regulatory subunit B family
Q00005	5521	2ABB		Phosphatase 2A regulatory subunit B family
Q9Y2T4	5522	2ABG		Phosphatase 2A regulatory subunit B family
Q06190	5523	P2R3A	EF-hand 1;EF-hand 2	
Q15257	5524	PTPA		PTPA-type PPIase family
Q15172	5525	2A5A		Phosphatase 2A regulatory subunit B56 family
Q15173	5526	2A5B		Phosphatase 2A regulatory subunit B56 family
Q13362	5527	2A5G		Phosphatase 2A regulatory subunit B56 family
Q14738	5528	2A5D		Phosphatase 2A regulatory subunit B56 family
Q16537	5529	2A5E		Phosphatase 2A regulatory subunit B56 family
Q08209	5530	PP2BA		PPP phosphatase family, PP-2B subfamily
P60510	5531	PP4C		PPP phosphatase family, PP-4 (PP-X) subfamily
P16298	5532	PP2BB		PPP phosphatase family, PP-2B subfamily
P48454	5533	PP2BC		PPP phosphatase family, PP-2B subfamily
P63098	5534	CANB1	EF-hand 1;EF-hand 2;EF-hand 3;EF-hand 4	Calcineurin regulatory subunit family
Q96LZ3	5535	CANB2	EF-hand 1;EF-hand 2;EF-hand 3;EF-hand 4	Calcineurin regulatory subunit family
P53041	5536	PPP5		PPP phosphatase family, PP-5 (PP-T) subfamily
O00743	5537	PPP6		PPP phosphatase family, PP-6 (PP-V) subfamily
P50897	5538	PPT1		Palmitoyl-protein thioesterase family
P04280	5542	PRP1		
Q92733	5546	PRCC		
P42785	5547	PCP		Peptidase S28 family
P51888	5549	PRELP		Small leucine-rich proteoglycan (SLRP) family, SLRP class II subfamily
P48147	5550	PPCE		Peptidase S9A family
P14222	5551	PERF	MACPF;EGF-like;C2	Complement C6/C7/C8/C9 family
P10124	5552	SRGN		Serglycin family
P13727	5553	PRG2	C-type lectin	
P02810	5554,5555	PRPC		
P49642	5557	PRI1		Eukaryotic-type primase small subunit family
P49643	5558	PRI2		Eukaryotic-type primase large subunit family
Q13131	5562	AAPK1	Protein kinase	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, SNF1 subfamily
P54646	5563	AAPK2	Protein kinase	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, SNF1 subfamily
Q9Y478	5564	AAKB1		5'-AMP-activated protein kinase beta subunit family
O43741	5565	AAKB2		5'-AMP-activated protein kinase beta subunit family
P17612	5566	KAPCA	Protein kinase;AGC-kinase C-terminal	Protein kinase superfamily, AGC Ser/Thr protein kinase family, cAMP subfamily
P22694	5567	KAPCB	Protein kinase;AGC-kinase C-terminal	Protein kinase superfamily, AGC Ser/Thr protein kinase family, cAMP subfamily
P22612	5568	KAPCG	Protein kinase;AGC-kinase C-terminal	Protein kinase superfamily, AGC Ser/Thr protein kinase family, cAMP subfamily
P61925	5569	IPKA		PKI family
Q9C010	5570	IPKB		PKI family
P54619	5571	AAKG1	CBS 1;CBS 2;CBS 3;CBS 4	5'-AMP-activated protein kinase gamma subunit family
P10644	5573	KAP0		CAMP-dependent kinase regulatory chain family
P31321	5575	KAP1		CAMP-dependent kinase regulatory chain family
P13861	5576	KAP2		CAMP-dependent kinase regulatory chain family
P31323	5577	KAP3		CAMP-dependent kinase regulatory chain family
P17252	5578	KPCA	C2;Protein kinase;AGC-kinase C-terminal	Protein kinase superfamily, AGC Ser/Thr protein kinase family, PKC subfamily
P05771	5579	KPCB	C2;Protein kinase;AGC-kinase C-terminal	Protein kinase superfamily, AGC Ser/Thr protein kinase family, PKC subfamily
Q05655	5580	KPCD	C2;Protein kinase;AGC-kinase C-terminal	Protein kinase superfamily, AGC Ser/Thr protein kinase family, PKC subfamily
Q02156	5581	KPCE	C2;Protein kinase;AGC-kinase C-terminal	Protein kinase superfamily, AGC Ser/Thr protein kinase family, PKC subfamily
P05129	5582	KPCG	C2;Protein kinase;AGC-kinase C-terminal	Protein kinase superfamily, AGC Ser/Thr protein kinase family, PKC subfamily
P24723	5583	KPCL	C2;Protein kinase;AGC-kinase C-terminal	Protein kinase superfamily, AGC Ser/Thr protein kinase family, PKC subfamily
P41743	5584	KPCI	PB1;Protein kinase;AGC-kinase C-terminal	Protein kinase superfamily, AGC Ser/Thr protein kinase family, PKC subfamily
Q16512	5585	PKN1	REM-1 1;REM-1 2;REM-1 3;C2;Protein kinase;AGC-kinase C-terminal	Protein kinase superfamily, AGC Ser/Thr protein kinase family, PKC subfamily
Q16513	5586	PKN2	REM-1 1;REM-1 2;REM-1 3;C2;Protein kinase;AGC-kinase C-terminal	Protein kinase superfamily, AGC Ser/Thr protein kinase family, PKC subfamily
Q15139	5587	KPCD1	PH;Protein kinase	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, PKD subfamily
Q04759	5588	KPCT	C2;Protein kinase;AGC-kinase C-terminal	Protein kinase superfamily, AGC Ser/Thr protein kinase family, PKC subfamily
P14314	5589	GLU2B	LDL-receptor class A 1;LDL-receptor class A 2;EF-hand 1;EF-hand 2;PRKCSH	
Q05513	5590	KPCZ	PB1;Protein kinase;AGC-kinase C-terminal	Protein kinase superfamily, AGC Ser/Thr protein kinase family, PKC subfamily
P78527	5591	PRKDC	FAT;PI3K/PI4K;FATC	PI3/PI4-kinase family
Q13976	5592	KGP1	Protein kinase;AGC-kinase C-terminal	Protein kinase superfamily, AGC Ser/Thr protein kinase family, cGMP subfamily
Q13237	5593	KGP2	Protein kinase;AGC-kinase C-terminal	Protein kinase superfamily, AGC Ser/Thr protein kinase family, cGMP subfamily
P28482	5594	MK01	Protein kinase	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily
P27361	5595	MK03	Protein kinase	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily
P31152	5596	MK04	Protein kinase	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily
Q16659	5597	MK06	Protein kinase	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily
Q13164	5598	MK07	Protein kinase	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily
P45983	5599	MK08	Protein kinase	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily
Q15759	5600	MK11	Protein kinase	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily
P45984	5601	MK09	Protein kinase	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily
P53779	5602	MK10	Protein kinase	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily
O15264	5603	MK13	Protein kinase	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily
Q02750	5604	MP2K1	Protein kinase	Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase subfamily
P36507	5605	MP2K2	Protein kinase	Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase subfamily
P46734	5606	MP2K3	Protein kinase	Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase subfamily
Q13163	5607	MP2K5	PB1;Protein kinase	Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase subfamily
P52564	5608	MP2K6	Protein kinase	Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase subfamily
O14733	5609	MP2K7	Protein kinase	Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase subfamily
P19525	5610	E2AK2	DRBM 1;DRBM 2;Protein kinase	Protein kinase superfamily, Ser/Thr protein kinase family, GCN2 subfamily
Q13217	5611	DNJC3	J	
O43422	5612	P52K		
P51817	5613	PRKX	Protein kinase;AGC-kinase C-terminal	Protein kinase superfamily, AGC Ser/Thr protein kinase family, cAMP subfamily
P01236	5617	PRL		Somatotropin/prolactin family
P16471	5618	PRLR	Fibronectin type-III 1;Fibronectin type-III 2	Type I cytokine receptor family, Type 1 subfamily
P04553	5619	HSP1		Protamine P1 family
P04554	5620	PRM2		Protamine P2 family
F7VJQ1	5621	APRIO		
P04156	5621	PRIO		Prion family
O60542	5623	PSPN		TGF-beta family, GDNF subfamily
P04070	5624	PROC	Gla;EGF-like 1;EGF-like 2;Peptidase S1	Peptidase S1 family
O75360	5626	PROP1		Paired homeobox family
P07225	5627	PROS	Gla;EGF-like 1;EGF-like ;EGF-like ;EGF-like ;Laminin G-like 1;Laminin G-like 2	
Q92786	5629	PROX1	Prospero-type homeo;Prospero	Prospero homeodomain family
P41219	5630	PERI	IF rod	Intermediate filament family
P60891	5631	PRPS1		Ribose-phosphate pyrophosphokinase family
P11908	5634	PRPS2		Ribose-phosphate pyrophosphokinase family
Q14558	5635	KPRA		Ribose-phosphate pyrophosphokinase family
O60256	5636	KPRB		Ribose-phosphate pyrophosphokinase family
O14668	5638	TMG1	Gla	
O14669	5639	TMG2	Gla	
Q99538	5641	LGMN		Peptidase C13 family
P07477	5644	TRY1	Peptidase S1	Peptidase S1 family
P07478	5645	TRY2	Peptidase S1	Peptidase S1 family
P35030	5646	TRY3	Peptidase S1	Peptidase S1 family
P48740	5648	MASP1	CUB 1;EGF-lik;CUB 2;Sushi 1;Sushi 2;Peptidase S1	Peptidase S1 family
P78509	5649	RELN	Reelin;EGF-like 1;EGF-like 2;EGF-like 3;EGF-like 4;EGF-like 5;EGF-like 6;EGF-like 7;EGF-like 8	Reelin family
P49862	5650	KLK7	Peptidase S1	Peptidase S1 family, Kallikrein subfamily
P98073	5651	ENTK	SEA;LDL-receptor class A 1;CUB 1;MAM;CUB 2;LDL-receptor class A 2;SRCR;Peptidase S1	Peptidase S1 family
Q16651	5652	PRSS8	Peptidase S1	Peptidase S1 family
Q92876	5653	KLK6	Peptidase S1	Peptidase S1 family, Kallikrein subfamily
Q92743	5654	HTRA1	IGFBP N-terminal;Kazal-like;PDZ	Peptidase S1C family
O43240	5655	KLK10	Peptidase S1	Peptidase S1 family, Kallikrein subfamily
P24158	5657	PRTN3	Peptidase S1	Peptidase S1 family, Elastase subfamily
P07602	5660	SAP	Saposin A-type 1;Saposin B-type 1;Saposin B-type 2;Saposin B-type 3;Saposin B-type 4;Saposin A-type 2	
A5PKW4	5662	PSD1	SEC7;PH	PSD family
P49768	5663	PSN1		Peptidase A22A family
P49810	5664	PSN2		Peptidase A22A family
P11464	5669	PSG1	Ig-like V-type;Ig-like C2-type 1;Ig-like C2-type 2;Ig-like C2-type 3	Immunoglobulin superfamily, CEA family
P11465	5670	PSG2	Ig-like V-type;Ig-like C2-type 1;Ig-like C2-type 2	Immunoglobulin superfamily, CEA family
Q16557	5671	PSG3	Ig-like V-type;Ig-like C2-type 1;Ig-like C2-type 2;Ig-like C2-type 3	Immunoglobulin superfamily, CEA family
Q15238	5673	PSG5	Ig-like V-type;Ig-like C2-type 1;Ig-like C2-type 2	Immunoglobulin superfamily, CEA family
Q00889	5675	PSG6	Ig-like V-type;Ig-like C2-type 1;Ig-like C2-type 2;Ig-like C2-type 3	Immunoglobulin superfamily, CEA family
Q00887	5678	PSG9	Ig-like V-type;Ig-like C2-type 1;Ig-like C2-type 2;Ig-like C2-type 3	Immunoglobulin superfamily, CEA family
Q9UQ72	5680	PSG11	Ig-like V-type;Ig-like C2-type 1;Ig-like C2-type 2	Immunoglobulin superfamily, CEA family
P11801	5681	KPSH1	Protein kinase	Protein kinase superfamily, CAMK Ser/Thr protein kinase family
P25786	5682	PSA1		Peptidase T1A family
P25787	5683	PSA2		Peptidase T1A family
P25788	5684	PSA3		Peptidase T1A family
P25789	5685	PSA4		Peptidase T1A family
P28066	5686	PSA5		Peptidase T1A family
P60900	5687	PSA6		Peptidase T1A family
O14818	5688	PSA7		Peptidase T1A family
P20618	5689	PSB1		Peptidase T1B family
P49721	5690	PSB2		Peptidase T1B family
P49720	5691	PSB3		Peptidase T1B family
P28070	5692	PSB4		Peptidase T1B family
P28074	5693	PSB5		Peptidase T1B family
P28072	5694	PSB6		Peptidase T1B family
Q99436	5695	PSB7		Peptidase T1B family
P28062	5696	PSB8		Peptidase T1B family
P10082	5697	PYY		NPY family
P28065	5698	PSB9		Peptidase T1B family
P40306	5699	PSB10		Peptidase T1B family
P62191	5700	PRS4		AAA ATPase family
P35998	5701	PRS7		AAA ATPase family
P17980	5702	PRS6A		AAA ATPase family
P43686	5704	PRS6B		AAA ATPase family
P62195	5705	PRS8		AAA ATPase family
P62333	5706	PRS10		AAA ATPase family
Q99460	5707	PSMD1		Proteasome subunit S1 family
Q13200	5708	PSMD2		Proteasome subunit S2 family
O43242	5709	PSMD3	PCI	Proteasome subunit S3 family
P55036	5710	PSMD4	VWFA;UIM 1;UIM 2	Proteasome subunit S5A family
Q16401	5711	PSMD5		Proteasome subunit S5B/HSM3 family
P51665	5713	PSMD7	MPN	Peptidase M67A family
P48556	5714	PSMD8	PCI	Proteasome subunit S14 family
O00233	5715	PSMD9	PDZ	Proteasome subunit p27 family
O75832	5716	PSD10		
O00231	5717	PSD11	PCI	Proteasome subunit S9 family
O00232	5718	PSD12	PCI	Proteasome subunit p55 family
Q9UNM6	5719	PSD13	PCI	Proteasome subunit S11 family
Q06323	5720	PSME1		PA28 family
Q9UL46	5721	PSME2		PA28 family
P78330	5723	SERB		HAD-like hydrolase superfamily, SerB family
P25105	5724	PTAFR		G-protein coupled receptor 1 family
P26599	5725	PTBP1	RRM 1;RRM 2;RRM 3;RRM 4	
Q13635	5727	PTC1	SSD	Patched family
P60484	5728	PTEN	Phosphatase tensin-type;C2 tensin-type	PTEN phosphatase protein family
Q13258	5729	PD2R		G-protein coupled receptor 1 family
P41222	5730	PTGDS		Calycin superfamily, Lipocalin family
P34995	5731	PE2R1		G-protein coupled receptor 1 family
P43116	5732	PE2R2		G-protein coupled receptor 1 family
P43115	5733	PE2R3		G-protein coupled receptor 1 family
P35408	5734	PE2R4		G-protein coupled receptor 1 family
P43088	5737	PF2R		G-protein coupled receptor 1 family
Q9P2B2	5738	FPRP	Ig-like C2-type 1;Ig-like C2-type 2;Ig-like C2-type 3;Ig-like C2-type 4;Ig-like C2-type 5;Ig-like C2-type 6	
P43119	5739	PI2R		G-protein coupled receptor 1 family
Q16647	5740	PTGIS		Cytochrome P450 family
P01270	5741	PTHY		Parathyroid hormone family
P23219	5742	PGH1	EGF-like	Prostaglandin G/H synthase family
P35354	5743	PGH2	EGF-like	Prostaglandin G/H synthase family
P12272	5744	PTHR		Parathyroid hormone family
Q03431	5745	PTH1R		G-protein coupled receptor 2 family
P49190	5746	PTH2R		G-protein coupled receptor 2 family
Q05397	5747	FAK1	FERM;Protein kinase	Protein kinase superfamily, Tyr protein kinase family, FAK subfamily
Q13882	5753	PTK6	SH3;SH2;Protein kinase	Protein kinase superfamily, Tyr protein kinase family, BRK/PTK6/SIK subfamily
Q13308	5754	PTK7	Ig-like C2-type 1;Ig-like C2-type 2;Ig-like C2-type 3;Ig-like C2-type 4;Ig-like C2-type 5;Ig-like C2-type 6;Ig-like C2-type 7;Protein kinas	Protein kinase superfamily, Tyr protein kinase family, Insulin receptor subfamily
Q12792	5756	TWF1	ADF-H 1;ADF-H 2	Actin-binding proteins ADF family, Twinfilin subfamily
P06454	5757	PTMA		Pro/parathymosin family
P20962	5763	PTMS		Pro/parathymosin family
P21246	5764	PTN		Pleiotrophin family
O00391	5768	QSOX1	Thioredoxin;ERV/ALR sulfhydryl oxidase	Quiescin-sulfhydryl oxidase (QSOX) family
P18031	5770	PTN1	Tyrosine-protein phosphatase	Protein-tyrosine phosphatase family, Non-receptor class 1 subfamily
P17706	5771	PTN2	Tyrosine-protein phosphatase	Protein-tyrosine phosphatase family, Non-receptor class 1 subfamily
P26045	5774	PTN3	FERM;PDZ;Tyrosine-protein phosphatase	Protein-tyrosine phosphatase family, Non-receptor class subfamily
P29074	5775	PTN4	FERM;PDZ;Tyrosine-protein phosphatase	Protein-tyrosine phosphatase family, Non-receptor class subfamily
P29350	5777	PTN6	SH2 1;SH2 2;Tyrosine-protein phosphatase	Protein-tyrosine phosphatase family, Non-receptor class 2 subfamily
P35236	5778	PTN7	Tyrosine-protein phosphatase	Protein-tyrosine phosphatase family, Non-receptor class subfamily
P43378	5780	PTN9	CRAL-TRIO;Tyrosine-protein phosphatase	Protein-tyrosine phosphatase family, Non-receptor class 3 subfamily
Q06124	5781	PTN11	SH2 1;SH2 2;Tyrosine-protein phosphatase	Protein-tyrosine phosphatase family, Non-receptor class 2 subfamily
Q05209	5782	PTN12	Tyrosine-protein phosphatase	Protein-tyrosine phosphatase family, Non-receptor class 4 subfamily
Q12923	5783	PTN13	KIND;FERM;PDZ 1;PDZ 2;PDZ 3;PDZ 4;PDZ 5;Tyrosine-protein phosphatase	Protein-tyrosine phosphatase family, Non-receptor class subfamily
Q15678	5784	PTN14	FERM;Tyrosine-protein phosphatase	Protein-tyrosine phosphatase family, Non-receptor class subfamily
P18433	5786	PTPRA	Tyrosine-protein phosphatase 1;Tyrosine-protein phosphatase 2	Protein-tyrosine phosphatase family, Receptor class 4 subfamily
P23467	5787	PTPRB	Fibronectin type-III 1;Fibronectin type-III 2;Fibronectin type-III 3;Fibronectin type-III 4;Fibronectin type-III 5;Fibronectin type-III 6;Fibronectin type-III 7;Fibronectin type-III 8;Fibronectin type-III 9;Fibronectin type-III 10;Fibronectin type-III 11;Fibronectin type-III 12;Fibronectin type-III 13;Fibronectin type-III 14;Fibronectin type-III 15;Fibronectin type-III 16;Fibronectin type-III 17;Tyrosine-protein phosphatase	Protein-tyrosine phosphatase family, Receptor class 3 subfamily
P08575	5788	PTPRC	Fibronectin type-III 1;Fibronectin type-III 2;Tyrosine-protein phosphatase 1;Tyrosine-protein phosphatase 2	Protein-tyrosine phosphatase family, Receptor class 1/6 subfamily
P23468	5789	PTPRD	Ig-like C2-type 1;Ig-like C2-type 2;Ig-like C2-type 3;Fibronectin type-III 1;Fibronectin type-III 2;Fibronectin type-III 3;Fibronectin type-III 4;Fibronectin type-III 5;Fibronectin type-III 6;Fibronectin type-III 7;Fibronectin type-III 8;Tyrosine-protein phosphatase 1;Tyrosine-protein phosphatase 2	Protein-tyrosine phosphatase family, Receptor class 2A subfamily
Q14761	5790	PTCA		
P23469	5791	PTPRE	Tyrosine-protein phosphatase 1;Tyrosine-protein phosphatase 2	Protein-tyrosine phosphatase family, Receptor class 4 subfamily
P10586	5792	PTPRF	Ig-like C2-type 1;Ig-like C2-type 2;Ig-like C2-type 3;Fibronectin type-III 1;Fibronectin type-III 2;Fibronectin type-III 3;Fibronectin type-III 4;Fibronectin type-III 5;Fibronectin type-III 6;Fibronectin type-III 7;Fibronectin type-III 8;Tyrosine-protein phosphatase 1;Tyrosine-protein phosphatase 2	Protein-tyrosine phosphatase family, Receptor class 2A subfamily
P23470	5793	PTPRG	Alpha-carbonic anhydrase;Fibronectin type-III;Tyrosine-protein phosphatase 1;Tyrosine-protein phosphatase 2	Protein-tyrosine phosphatase family, Receptor class 5 subfamily
Q9HD43	5794	PTPRH	Fibronectin type-III 1;Fibronectin type-III 2;Fibronectin type-III 3;Fibronectin type-III 4;Fibronectin type-III 5;Fibronectin type-III 6;Fibronectin type-III 7;Fibronectin type-III 8;Tyrosine-protein phosphatase	Protein-tyrosine phosphatase family, Receptor class 3 subfamily
Q12913	5795	PTPRJ	Fibronectin type-III 1;Fibronectin type-III 2;Fibronectin type-III 3;Fibronectin type-III 4;Fibronectin type-III 5;Fibronectin type-III 6;Fibronectin type-III 7;Fibronectin type-III 8;Fibronectin type-III 9;Tyrosine-protein phosphatase	Protein-tyrosine phosphatase family, Receptor class 3 subfamily
Q15262	5796	PTPRK	MAM;Ig-like C2-type;Fibronectin type-III 1;Fibronectin type-III 2;Fibronectin type-III 3;Fibronectin type-III 4;Tyrosine-protein phosphatase 1;Tyrosine-protein phosphatase 2	Protein-tyrosine phosphatase family, Receptor class 2B subfamily
P28827	5797	PTPRM	MAM;Ig-like C2-type;Fibronectin type-III 1;Fibronectin type-III 2;Fibronectin type-III 3;Fibronectin type-III 4;Tyrosine-protein phosphatase 1;Tyrosine-protein phosphatase 2	Protein-tyrosine phosphatase family, Receptor class 2B subfamily
Q16849	5798	PTPRN	Tyrosine-protein phosphatase	Protein-tyrosine phosphatase family, Receptor class 8 subfamily
Q92932	5799	PTPR2	Tyrosine-protein phosphatase	Protein-tyrosine phosphatase family, Receptor class 8 subfamily
Q16827	5800	PTPRO	Fibronectin type-III 1;Fibronectin type-III 2;Fibronectin type-III 3;Fibronectin type-III 4;Fibronectin type-III 5;Fibronectin type-III 6;Fibronectin type-III 7;Fibronectin type-III 8;Tyrosine-protein phosphatase	Protein-tyrosine phosphatase family, Receptor class 3 subfamily
Q15256	5801	PTPRR	Tyrosine-protein phosphatase	Protein-tyrosine phosphatase family, Receptor class 7 subfamily
Q13332	5802	PTPRS	Ig-like C2-type 1;Ig-like C2-type 2;Ig-like C2-type 3;Fibronectin type-III 1;Fibronectin type-III 2;Fibronectin type-III 3;Fibronectin type-III 4;Fibronectin type-III 5;Fibronectin type-III 6;Fibronectin type-III 7;Fibronectin type-III 8;Tyrosine-protein phosphatase 1;Tyrosine-protein phosphatase 2	Protein-tyrosine phosphatase family, Receptor class 2A subfamily
P23471	5803	PTPRZ	Alpha-carbonic anhydrase;Fibronectin type-III;Tyrosine-protein phosphatase 1;Tyrosine-protein phosphatase 2	Protein-tyrosine phosphatase family, Receptor class 5 subfamily
Q03393	5805	PTPS		PTPS family
P26022	5806	PTX3	Pentraxin (PTX)	
O60671	5810	RAD1		Rad1 family
Q00577	5813	PURA		PUR DNA-binding protein family
Q96QR8	5814	PURB		PUR DNA-binding protein family
P15151	5817	PVR	Ig-like V-type;Ig-like C2-type 1;Ig-like C2-type 2	Nectin family
Q15223	5818	NECT1	Ig-like V-type;Ig-like C2-type 1;Ig-like C2-type 2	Nectin family
Q92692	5819	NECT2	Ig-like V-type;Ig-like C2-type 1;Ig-like C2-type 2	Nectin family
Q15269	5822	PWP2		WD repeat PWP2 family
P40855	5824	PEX19		Peroxin-19 family
P28288	5825	ABCD3	ABC transmembrane type-1;ABC transporter	ABC transporter superfamily, ABCD family, Peroxisomal fatty acyl CoA transporter (TC 3.A.1.203) subfamily
O14678	5826	ABCD4	ABC transmembrane type-1;ABC transporter	ABC transporter superfamily, ABCD family, Peroxisomal fatty acyl CoA transporter (TC 3.A.1.203) subfamily
Q9NR77	5827	PXMP2		Peroxisomal membrane protein PXMP2/4 family
P28328	5828	PEX2		Pex2/pex10/pex12 family
P49023	5829	PAXI	LIM zinc-binding 1;LIM zinc-binding 2;LIM zinc-binding 3;LIM zinc-binding 4	Paxillin family
P50542	5830	PEX5		Peroxisomal targeting signal receptor family
P32322	5831	P5CR1		Pyrroline-5-carboxylate reductase family
P54886	5832	P5CS		Glutamate 5-kinase family; Gamma-glutamyl phosphate reductase family
Q99447	5833	PCY2		Cytidylyltransferase family
P11216	5834	PYGB		Glycogen phosphorylase family
P06737	5836	PYGL		Glycogen phosphorylase family
P11217	5837	PYGM		Glycogen phosphorylase family
P47897	5859	SYQ		Class-I aminoacyl-tRNA synthetase family
P09417	5860	DHPR		Short-chain dehydrogenases/reductases (SDR) family
P62820	5861	RAB1A		Small GTPase superfamily, Rab family
P61019	5862	RAB2A		Small GTPase superfamily, Rab family
O15211	5863	RGL2	N-terminal Ras-GEF;Ras-GEF;Ras-associating	
P20336	5864	RAB3A		Small GTPase superfamily, Rab family
P20337	5865	RAB3B		Small GTPase superfamily, Rab family
Q8TBN0	5866	R3GEF		SEC2 family
P20338	5867	RAB4A		Small GTPase superfamily, Rab family
P20339	5868	RAB5A		Small GTPase superfamily, Rab family
P61020	5869	RAB5B		Small GTPase superfamily, Rab family
P20340	5870	RAB6A		Small GTPase superfamily, Rab family
Q12851	5871	M4K2	Protein kinase;CNH	Protein kinase superfamily, STE Ser/Thr protein kinase family, STE20 subfamily
P51153	5872	RAB13		Small GTPase superfamily, Rab family
P51159	5873	RB27A		Small GTPase superfamily, Rab family
O00194	5874	RB27B		Small GTPase superfamily, Rab family
Q92696	5875	PGTA		Protein prenyltransferase subunit alpha family
P53611	5876	PGTB2		Protein prenyltransferase subunit beta family
P47224	5877	MSS4	MSS4	DSS4/MSS4 family
P51148	5878	RAB5C		Small GTPase superfamily, Rab family
P63000	5879	RAC1		Small GTPase superfamily, Rho family
P15153	5880	RAC2		Small GTPase superfamily, Rho family
P60763	5881	RAC3		Small GTPase superfamily, Rho family
Q99638	5883	RAD9A		Rad9 family
O75943	5884	RAD17		Rad17/RAD24 family
O60216	5885	RAD21		Rad21 family
P54725	5886	RD23A	Ubiquitin-like;UBA 1;UBA 2	RAD23 family
P54727	5887	RD23B	Ubiquitin-like;UBA 1;STI1;UBA 2	RAD23 family
Q06609	5888	RAD51	HhH	RecA family, RAD51 subfamily
O43502	5889	RA51C		RecA family, RAD51 subfamily
O15315	5890	RA51B		RecA family, RAD51 subfamily
Q9UQ07	5891	MOK	Protein kinase	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily
O75771	5892	RA51D		RecA family, RAD51 subfamily
P43351	5893	RAD52		RAD52 family
P04049	5894	RAF1	RBD;Protein kinase	Protein kinase superfamily, TKL Ser/Thr protein kinase family, RAF subfamily
P15918	5896	RAG1		RAG1 family
P55895	5897	RAG2		RAG2 family
P11233	5898	RALA		Small GTPase superfamily, Ras family
P11234	5899	RALB		Small GTPase superfamily, Ras family
Q12967	5900	GNDS	N-terminal Ras-GEF;Ras-GEF;Ras-associating	
P62826	5901	RAN		Small GTPase superfamily, Ran family
P43487	5902	RANG	RanBD1	RANBP1 family
P49792	5903	RBP2	RanBD1 1;RanBD1 2;RanBD1 3;RanBD1 4;PPIase cyclophilin-type	RanBP2 E3 ligase family
P46060	5905	RAGP1		RNA1 family
P62834	5906	RAP1A		Small GTPase superfamily, Ras family
P61224	5908	RAP1B		Small GTPase superfamily, Ras family
P47736	5909	RPGP1	GoLoco;Rap-GAP	
P52306	5910	GDS1		
P10114	5911	RAP2A		Small GTPase superfamily, Ras family
P61225	5912	RAP2B		Small GTPase superfamily, Ras family
Q13702	5913	RAPSN		RAPsyn family
P10276	5914	RARA	NR LBD	Nuclear hormone receptor family, NR1 subfamily
P10826	5915	RARB	NR LBD	Nuclear hormone receptor family, NR1 subfamily
P13631	5916	RARG	NR LBD	Nuclear hormone receptor family, NR1 subfamily
P54136	5917	SYRC		Class-I aminoacyl-tRNA synthetase family
Q9UL19	5920	PLAT4		H-rev107 family
P20936	5921	RASA1	SH2 1;SH3;SH2 2;PH;C2;Ras-GAP	
Q15283	5922	RASA2	C2 1;C2 2;Ras-GAP;PH	
